Region,Nature,Type,Text,Price,Modified Date
Gammart,Location,Maisons,Villa de charme vide,4 500,05/05/2024
Gammart,Location,App. 4 pièc,Un joli appartement,5 000,05/05/2024
Gammart,Location,Maisons,Belle villa à gammar,5 000,05/05/2024
El Mourouj,Vente,App. 4 pièc,Appartement  s3 haut sta,290 000,05/05/2024
El Mourouj,Location,App. 4 pièc,Étage de villa mourouj 3,750,05/05/2024
Cite El Khalij,Vente,Maisons,Maison hbiba,125 000,05/05/2024
Bou Mhel,Terrain,Terrain agr,Av terrain 150 m2 à boumhal b,52 500,05/05/2024
El Mourouj,Location,Surfaces,Al local commercial à mourouj,3 000,05/05/2024
Bou Mhel,Vente,Maisons,Av belle villa à boumhal bass,520 000,05/05/2024
Riadh Landlous,Terrain,Terrain nu,Offre terrain viabilisé,590 000,05/05/2024
Bou Mhel,Vente,Autre,Affaire commerciale,1 550 000,05/05/2024
Cite Ennasr 2,Vente,App. 2 pièc,App à ennasser,250 000,05/05/2024
Ben Arous,Location,App. 3 pièc,Appartement s2 haut stan,750,05/05/2024
Bou Jerdga,Terrain,Terrain nu,Terrain bou jerdga,85 000,05/05/2024
Cite Afh,Location vacance,App. 2 pièc,App s1 hs au rdc ouvre s,1 000,05/05/2024
Hammamet,Location vacance,App. 3 pièc,App s2 hs au rdc à afh m,1 000,05/05/2024
El Mourouj,Vente,Maisons,Villa indépendante à mou,480 000,05/05/2024
Le Bardo,Vente,Maisons,Maison henda bardo,750 000,05/05/2024
El Mourouj,Location,App. 4 pièc,Appartement ikram mourouj 6,900,05/05/2024
Hedi Chaker,Location,Surfaces,Pour tt activité  bureautique,2 400,05/05/2024
El Charguia,Vente,Autre,U s i n e   ter 2883m2  couve,4 200 000,05/05/2024
Sousse,Location,App. 3 pièc,Un luxueux appart richem,1 800,05/05/2024
Nouvelle Ariana,Location,Maisons,Etage de villa bien plac,1 300,05/05/2024
Naassen,Vente,Maisons,Maison naassen,240 000,05/05/2024
El Mourouj,Vente,Duplex,Duplex mourouj 1,570 000,05/05/2024
Nouvelle Ariana,Location,Maisons,Etage de villa bien plac,1 300,05/05/2024
Naassen,Vente,Maisons,Maison naassen,240 000,05/05/2024
El Mourouj,Vente,Duplex,Duplex mourouj 1,570 000,05/05/2024
Cite Mongi Slim,Terrain,Terrain nu,Terrain mhamdia,130 000,05/05/2024
Berge Du Lac,Location,App. 5 pièc,S4meublé neuf proche lac,2 300,05/05/2024
El Aouina,Location,App. 3 pièc,Cité wehat s2meublé très,1 300,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,Très propre s1 meublé po,1 200,05/05/2024
Soliman,Location,App. 2 pièc,Appartement meublé a sol,450,05/05/2024
Soliman,Location,Surfaces,Surface a l étage dispon,800,05/05/2024
Soliman,Location,App. 2 pièc,Appartement  meublé et n,390,05/05/2024
Le Bardo,Location,App. 4 pièc,Un étage de villa à ne p,800,05/05/2024
Kelibia,Location vacance,App. 2 pièc,S 1 ain grenz trés haut,220,05/05/2024
Cite Ennasr 2,Vente,Maisons,Villa située en face du clini,3 000 000,05/05/2024
Sidi Daoud,Location,Autre,Usage bureau,2 000,05/05/2024
Ariana Essoughr,Location,App. 2 pièc,S 2 meublé,1 000,05/05/2024
La Mannouba,Location,Maisons,Maison s plus 2  manouba,500,05/05/2024
El Maamoura,Vente,Surfaces,Au bord de la mer,300 000,05/05/2024
La Mannouba,Location,Maisons,Studio bien meublée,650,05/05/2024
Nabeul,Terrain,Terrain nu,Terrain 470m à cité mora,540 500,05/05/2024
Jebel El Oust,Terrain,Terrain agr,Une belle ferme 28km de,750 000,05/05/2024
La Mannouba,Location,Maisons,2éme étage d'une maison,500,05/05/2024
El Mourouj,Vente,Maisons,Villa haute standing mou,850 000,05/05/2024
Boucha,Terrain,Terrain agr,Paysage paronamique 8 he,750 000,05/05/2024
Sminja,Terrain,Terrain agr,2hectare oliviers à smin,185 000,05/05/2024
La Mannouba,Terrain,Terrain nu,Terrain titrée près l'arrêt m,20 000,05/05/2024
Fouchana,Vente,Maisons,Villa de standing,600 000,05/05/2024
La Mannouba,Vente,Maisons,2 maison séparée sur la,500 000,05/05/2024
Cite Afh,Location vacance,App. 1 pièc,S1 meublé afh mrezga,n.d,05/05/2024
Ezzahra,Location,App. 3 pièc,Jeune couple avec un enfant c,n.d,05/05/2024
Ain Zaghouan,Location,App. 1 pièc,Appartement luxe s1 rout,560,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,Appartement s1 luxe a ro,140,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,Appartement a deux chamb,560,05/05/2024
El Aouina,Location,App. 3 pièc,S 2 neuf cite wahat,1 400,05/05/2024
El Mourouj,Vente,App. 2 pièc,Particulier vend s2 a mo,140 000,05/05/2024
Delaiel El Arou,Terrain,Terrain agr,Belle petite ferme,360 000,05/05/2024
Bir Mcherga,Terrain,Terrain agr,22 hectare  à elmnagaa,750 000,05/05/2024
Bir Mcherga,Terrain,Terrain agr,13 hectares sur la route,580 000,05/05/2024
El Mourouj,Vente,App. 3 pièc,App mourouj 3 après lc w,130 000,05/05/2024
Monfleury,Vente,Maisons,Appartement jihen montfl,200 000,05/05/2024
Rades Plage,Location,App. 3 pièc,Rdc indépendante rades p,600,05/05/2024
El Menzah 5,Vente,Maisons,Villa a usage commercial,1 350 000,05/05/2024
Sidi Soufiene,Terrain,Terrain nu,Terrain à sidi soufiene,1 500 000,05/05/2024
La Mannouba,Terrain,Terrain nu,Terrain pour un projet d,557 700,05/05/2024
Zone urbaine no,Bureaux & Commer,Surfaces,Fond et mur pour toutes,1 400 000,05/05/2024
Zone Hoteliere,Terrain,Terrain nu,Beau terrain jumelé zone,412 800,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,Très joli open space de,52 000,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,Coquette bureau 135 m2 a,3 263,05/05/2024
Beja,Bureaux & Commer,Surfaces,Locaux commerciaux neufs,534 000,05/05/2024
El Menzah 6,Vente,Maisons,Villa de charme au menza,2 500 000,05/05/2024
El Menzah 9,Location,Duplex,Duplex s3 hs vide ou meu,2 200,05/05/2024
El Menzah 9,Location,Duplex,Duplex s3 hs vide ou meu,2 200,05/05/2024
El Charguia,Bureaux & Commer,Surfaces,Un local industriel au c,5 500,05/05/2024
Ben Arous,Bureaux & Commer,Surfaces,Local commercial sur une,5 800,05/05/2024
Beni Khalled,Terrain,Terrain agr,Ferme en pleine producti,850 000,05/05/2024
El Menzah 6,Vente,Duplex,Triplex s4 uv4 au menzah,480 000,05/05/2024
Dar Fadhal,Bureaux & Commer,Gérance lib,Un local commercial au d,3 000,05/05/2024
Cite El Ghazala,Terrain,Terrain nu,Projet immobilier à cité,4 480 000,05/05/2024
El Menzah 6,Vente,Duplex,Duplex s4 uv4 commercial,420 000,05/05/2024
Kelibia,Location,App. 3 pièc,Appartement s2,520,05/05/2024
Cite Ennasr 2,Bureaux & Commer,Bureau,Bureau neuf haut standig,6 500,05/05/2024
La Soukra,Location,App. 2 pièc,S2 comme neuf a 2 mm de,1 100,05/05/2024
Sidi Messaoud,Terrain,Terrain agr,Terrain agricole à mornag,85 000,05/05/2024
La Soukra,Vente,Autre,Lot de terrain à la souk,510 000,05/05/2024
El Menzah 7,Vente,Maisons,Demeure familiale au men,1 900 000,05/05/2024
Mutuelle Ville,Vente,Maisons,Villa à rénover au mutue,1 800 000,05/05/2024
El Menzah 7,Vente,App. 4 pièc,Appartement s3 au menzah,210 000,05/05/2024
Mutuelle Ville,Bureaux & Commer,Bureau,Villa à usage bureautiqu,5 000,05/05/2024
Cite Ennasr 1,Vente,App. 3 pièc,Appartement s2 à cité en,320 000,05/05/2024
Cite Ennasr 2,Location,App. 4 pièc,Appartement s3 neuf à ci,1 780,05/05/2024
El Manar 2,Bureaux & Commer,Bureau,Bureau spacieux moyen st,1 900,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,Appart s 1 tres haut sta,1 100,05/05/2024
Mutuelle Ville,Location,Maisons,Rez de chaussée villa mutuell,3 000,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,Ennasr 2 appart s 2  pla,1 580,05/05/2024
Jardins de Cart,Location,App. 2 pièc,S plus 1 haut standi,1 200,05/05/2024
Jardins de Cart,Vente,App. 2 pièc,Appart s 1 marbre bl,280 000,05/05/2024
La Soukra,Location,App. 2 pièc,Appar s plus 1 haut,900,05/05/2024
Le Bardo,Location,App. 3 pièc,Pour un couple futur mar,600,05/05/2024
El Mourouj 2,Vente,App. 3 pièc,Appartement ibrahim mour,120 000,05/05/2024
Naassen,Bureaux & Commer,Autre,Dépôt de stockage nassen,140 000,05/05/2024
Naassen,Terrain,Terrain agr,Terrain à naassen,2 000 000,05/05/2024
Le Bardo,Vente,App. 3 pièc,Tunis le bardo  2 appart,270 000,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,Appartement s2 2,1 600,05/05/2024
Cite Jardins,Bureaux & Commer,Bureau,Bonne opportunité,3 650 000,05/05/2024
Hergla,Bureaux & Commer,Surfaces,Local commercial a hergl,600 000,05/05/2024
Kalaa Essghira,Terrain,Terrain agr,Terrain agricole akala srira,12 500 000,05/05/2024
Chouchet Rades,Terrain,Terrain nu,Lot de terrain  à chouchet ra,320 000,05/05/2024
Charguia 2,Bureaux & Commer,Bureau,Spacieux bureau 300 m2 à,4 200,05/05/2024
Le Kram,Bureaux & Commer,Bureau,Open space 500 m2 haut s,8 700,05/05/2024
Le Kram,Bureaux & Commer,Bureau,Spacieux bureau hall plu,2 200,05/05/2024
Ezzahra,Achat,Maisons,Cherche maison,n.d,05/05/2024
El Menzah 7,Vente,App. 3 pièc,Appartement s2 menzah7,205 000,05/05/2024
Cite El Ghazala,Terrain,Terrain nu,Terrain 200m ghazela,260 000,05/05/2024
Cite Ennasr 2,Vente,App. 3 pièc,Appart hstg s2 ennaser 2,380 000,05/05/2024
Sfax,Terrain,Terrain nu,Terrain  extra,300 000,05/05/2024
Bir Ben Ayed,Terrain,Terrain agr,Zitounes ksar errih,298 000,05/05/2024
Nabeul,Location,Maisons,Rez de chaussée s plus3 bien,700,05/05/2024
Chotrana 1,Location,App. 3 pièc,Un appartement de très h,1 800,05/05/2024
Borj Cedria,Location,App. 3 pièc,Appartement meublé borj,1 500,05/05/2024
El Ouerdia,Vente,Maisons,Villa avec local commerc,250 000,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,Bureau neuf 700 m2 en op,17 500,05/05/2024
Bir El Mellouli,Terrain,Terrain agr,Zitounes kbir,85 000,05/05/2024
Sfax,Location,App. 4 pièc,Appart centre ville pour usag,550,05/05/2024
El Ain,Terrain,Terrain nu,Terrain carré,240 000,05/05/2024
Merkez Sahnoun,Terrain,Terrain nu,Terrain  formidable,200 000,05/05/2024
Jardins d'el Me,Terrain,Terrain nu,Particulier vend terrain,110 000,05/05/2024
Hammamet,Location vacance,App. 4 pièc,Duplex s plus 3 meub,2 200,05/05/2024
Cite El Khadra,Vente,App. 3 pièc,Cité khadra appt au prem,142 000,05/05/2024
Cite El Khadra,Vente,Maisons,Cité khadra maison,999 000,05/05/2024
Raoued,Vente,Maisons,Raouad maison inachevé,95 000,05/05/2024
El Mourouj,Vente,Autre,Terrain naziha,190 000,05/05/2024
El Haouaria,Vente,Maisons,Maison bach,320 000,05/05/2024
Meghira Centre,Terrain,Terrain nu,Terrain mghira,672 000,05/05/2024
Hammamet,Location,App. 3 pièc,S plus 2 meublé a el,1 500,05/05/2024
Jardins d'el Me,Location,App. 2 pièc,App s1 800 jardin d el,800,05/05/2024
Riadh Landlous,Location,App. 1 pièc,S1 meublé 800 dt à riadh,800,05/05/2024
Ariana,Location,App. 3 pièc,S3 800 dt à ariena,800,05/05/2024
El Aouina,Location,App. 2 pièc,Monoprix l aouina,950,05/05/2024
El Aouina,Location,App. 2 pièc,S1 monoprix l aouina,950,05/05/2024
Hammamet,Location vacance,App. 3 pièc,S plus 2 meublé a la,1 400,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,Bureau 440 m2 haut stand,10 270,05/05/2024
Berge Du Lac,Vente,Maisons,Villa de maitre au berge,3 800 000,05/05/2024
Gammart,Vente,Maisons,Villa à gammart sup avec,10 000 000,05/05/2024
Nabeul,Location,Maisons,Studio 2 pieces meub,550,05/05/2024
Hammamet,Location vacance,App. 1 pièc,Studio s0 a la cité,650,05/05/2024
Khaznadar,Location,App. 2 pièc,Studio nom meuble,470,05/05/2024
Hammamet,Location,App. 2 pièc,Studio s plus 1 meub,800,05/05/2024
Hammamet,Location,App. 3 pièc,S plus 2 a el mrezga,750,05/05/2024
Berge Du Lac,Location,App. 5 pièc,Particulier l s4meublé p,2 300,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,A l'année s1meublé excel,1 200,05/05/2024
Berge Du Lac,Location,App. 3 pièc,Particulier l s2 mblé pr,1 300,05/05/2024
Sidi Frej,Location,App. 1 pièc,Un s1 meublé a soukra 80,450,05/05/2024
El Mourouj,Location,App. 3 pièc,Rdc mourouj 3,700,05/05/2024
La Soukra,Location,App. 3 pièc,S plus 2 meublé a soukra,600,05/05/2024
Cite Touristiqu,Vente,Maisons,Studio dans 300 m2 a la,225 000,05/05/2024
La Soukra,Location,App. 1 pièc,Un s1 meublé a tunis la,450,05/05/2024
Ibn Sina,Vente,Duplex,Duplex krich,270 000,05/05/2024
El Haouaria,Terrain,Terrain nu,Lot de terrain de 166m2,50 000,05/05/2024
El Mourouj,Vente,App. 3 pièc,Appartement mourouj 3 ré,130 000,05/05/2024
El Haouaria,Vente,Maisons,Villa propre ds 400m2 a,240 000,05/05/2024
Hammamet,Location,App. 2 pièc,S plus 1 meublé a el,600,05/05/2024
Menzel Horr,Terrain,Terrain agr,Terrain agricole irrigué,140 000,05/05/2024
El Ksibi,Terrain,Terrain nu,El ksibi 1000m2,60 000,05/05/2024
El Ksibi,Terrain,Terrain nu,A el ksibi,60 000,05/05/2024
El Ksibi,Terrain,Terrain nu,A mornag a el ksibi,60 000,05/05/2024
Jardins d'el Me,Location,App. 2 pièc,S plus 1 aux jmzh 1,750,05/05/2024
Menzel Temime,Terrain,Terrain nu,Lots pour construction a,144 000,05/05/2024
Khaznadar,Location,App. 2 pièc,Bel appart totalement meublé,900,05/05/2024
Cite Ennasr 1,Location,App. 3 pièc,S plus 2 meublé a en,1 400,05/05/2024
Le Bardo,Location,App. 2 pièc,Joli appart complètement meub,800,05/05/2024
Menzel Temime,Bureaux & Commer,Bureau,A l bureau au centre vil,650,05/05/2024
El Menzah 7,Vente,App. 3 pièc,S2 menzah 7 proche grand hote,19 500,05/05/2024
El Manar 2,Location,App. 3 pièc,S plus 2 rénové meub,1 450,05/05/2024
Ariana,Vente,App. 4 pièc,Appart s3 hedi nouira ar,300 000,05/05/2024
Cite El Ghazala,Vente,App. 3 pièc,S2 ghazela,235 000,05/05/2024
Cite El Ghazala,Location,App. 2 pièc,Appartement s2,1 200,05/05/2024
Tantana,Vente,App. 3 pièc,Appartement dans la zone,300 000,05/05/2024
Sounine,Location vacance,App. 3 pièc,Vacances de rêve,1 200,05/05/2024
Borj Louzir,Bureaux & Commer,Bureau,Bureau s1 hst a borj,800,05/05/2024
El Manar 1,Location,App. 3 pièc,S plus 2 a el manar,900,05/05/2024
Cite Ettahrir S,Location,App. 2 pièc,Appartement non meublé,320,05/05/2024
Le Kram,Bureaux & Commer,Bureau,Bureau 1120 m2 en open s,23 333,05/05/2024
El Aouina,Location,Maisons,Belle villa neuve à laou,300,05/05/2024
Montplaisir,Bureaux & Commer,Bureau,Super bureau 600 m2 haut,9 500,05/05/2024
Hedi Chaker,Location,App. 2 pièc,Appart neuf s1 beb khadhra re,780,05/05/2024
Salambo,Location,App. 3 pièc,Maison independante s2 c,450,05/05/2024
Le Kram Est,Location,App. 3 pièc,Etage meuble s2 au kram,1 300,05/05/2024
Le Bardo,Location,App. 3 pièc,Appartement s2 propre pr,600,05/05/2024
Tunis Belvedere,Bureaux & Commer,Bureau,Bureau s plus 1 hst,700,05/05/2024
Ariana,Location,App. 3 pièc,Appart s 2 avec balcon d,700,05/05/2024
El Manar 1,Location,App. 1 pièc,Studio s0 meublé a e,700,05/05/2024
El Maamoura,Location vacance,Maisons,Villa à coupoles avec ja,3 500,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,Appart s 1 avec balc,1 000,05/05/2024
Dar Fadhal,Vente,Maisons,Maison à dar fadhal,165 000,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,S plus 1 meublé a en,1 100,05/05/2024
Republique,Vente,App. 3 pièc,S2 renové centre ville,170 000,05/05/2024
Cite El Ghazala,Terrain,Terrain nu,Terrain ghazela,225 000,05/05/2024
Cite Ennasr 2,Location,Maisons,Rez de jardin s plus,1 000,05/05/2024
El Menzah 7,Vente,App. 4 pièc,Appart s3 menzah 7,250 000,05/05/2024
Sousse Corniche,Location,App. 1 pièc,Petit studio,400,05/05/2024
Cite Ennasr 2,Location,App. 3 pièc,S3 1300 dt à ennasr 2,1 300,05/05/2024
Sfax,Location,App. 3 pièc,Splus2  formidable gremd,850,05/05/2024
Megrine Coteau,Bureaux & Commer,Bureau,Local à usage administra,900,05/05/2024
Jardins d'el Me,Location,Maisons,Rez de jardin s plus,1 000,05/05/2024
El Menzah 7,Location,App. 2 pièc,S plus 1 meublé a el,1 300,05/05/2024
Jardins d'el Me,Location,App. 2 pièc,S2 750 dt aux jardins de,750,05/05/2024
Mutuelle Ville,Location,App. 2 pièc,S1 renove meuble a notre,950,05/05/2024
El Yasmina,Location,App. 4 pièc,Grand premier etage 180,800,05/05/2024
Berge Du Lac,Location,App. 5 pièc,Superbe villa meuble au,4 500,05/05/2024
Republique,Location,App. 3 pièc,Appt meuble s2 luxe au p,1 400,05/05/2024
Hammam Chatt,Vente,Maisons,Gps  terrain plus deux maison,2 903 600,05/05/2024
Cite Oplympique,Location,App. 4 pièc,S plus 3 a la cité o,1 000,05/05/2024
Hammam Chatt,Vente,App. 4 pièc,Gps  appart s3 troisième,170 000,05/05/2024
Cite Ettadhamen,Terrain,Terrain nu,Gps  terrain nu  commerc,1 154 400,05/05/2024
Bab El Khadra,Vente,Autre,Magasin dépôt chadly kal,420 000,05/05/2024
Bab Bhar,Vente,App. 3 pièc,S2 rue de marseille,175 000,05/05/2024
El Aouina,Location,App. 5 pièc,Excellent s4meublé ht st,2 200,05/05/2024
Cite Ennasr 2,Location,App. 1 pièc,Propriétaire l s1 meublé,1 200,05/05/2024
El Menzah 9,Location,Maisons,Villa bien entretenue av,5 500,05/05/2024
El Aouina,Location,App. 3 pièc,S2 meublé très propre ci,1 300,05/05/2024
Tunis Belvedere,Bureaux & Commer,Bureau,Plateau 350 m haut stand,7 500,05/05/2024
Cite El Mahraje,Location,App. 2 pièc,Appartement meublé en s2,1 800,05/05/2024
Jardins d'el Me,Bureaux & Commer,Bureau,Bureaux jmzh 2 wb333,1 500,05/05/2024
Zaouit Mornag,Terrain,Terrain nu,Terrain viabilisé,195 000,05/05/2024
La Soukra,Location,App. 2 pièc,S 1 haut standing a,1 050,05/05/2024
El Menzah 7,Location,App. 4 pièc,S plus 3 a el manzah,1 000,05/05/2024
El Menzah 5,Location,Maisons,Studio s plus 2 a el,750,05/05/2024
Zone Hoteliere,Terrain,Terrain nu,Terrain 5 min a pied de,900 000,05/05/2024
Jardins de Cart,Location,App. 4 pièc,Etage s 3 lumineux a,1 400,05/05/2024
Kelibia,Location,Maisons,Villa de prestige vue su,1 600,05/05/2024
Borj Touil,Terrain,Terrain nu,Super terrain 720m2 titr,240 000,05/05/2024
Ain Zaghouan,Location,App. 3 pièc,Appart s 2 avec 4 dr,1 350,05/05/2024
Republique,Location,App. 1 pièc,S0 tres propre derrière,480,05/05/2024
El Omrane,Location,App. 1 pièc,S0 meuble fraceville pre,460,05/05/2024
Cite Oplympique,Location,App. 4 pièc,S3 rez de chaussee propr,1 000,05/05/2024
Chotrana 1,Terrain,Terrain nu,Terrain à chotrana 1,2 225 000,05/05/2024
Kheireddine Pac,Bureaux & Commer,Surfaces,Local à montplaisir,950 000,05/05/2024
Riadh Landlous,Bureaux & Commer,Surfaces,Local riadh andalous,920 000,05/05/2024
El Charguia,Vente,Surfaces,Dépôt charguia 1,2 500 000,05/05/2024
El Menzah 6,Vente,Duplex,Triplex uv4,530 000,05/05/2024
El Manar 1,Location,App. 2 pièc,S plus 1 meublé a el,850,05/05/2024
Jabbes,Terrain,Terrain nu,Terrain à jabbes,300 000,05/05/2024
Ain Zaghouan,Location,App. 3 pièc,S 2 neuf cote de mon,1 200,05/05/2024
Cite Touristiqu,Terrain,Terrain nu,Terrain pieds dans l'eau,305 000,05/05/2024
Bou Mhel,Vente,App. 2 pièc,Av appart s2 au 4 ème étage à,120 000,05/05/2024
Cite Boussouffa,Terrain,Terrain nu,Terrain nue hamamlif,438 000,05/05/2024
Sidi Saad,Location,Surfaces,500m2terrain 15mn cv tun,450,05/05/2024
El Menzah 9,Location,App. 2 pièc,Studio libre de suite,550,05/05/2024
Marsa Safsaf,Location,App. 3 pièc,Appartement s2 meublé à,2 700,05/05/2024
Sidi Saad,Terrain,Terrain nu,Terrain mornag20min cv tunis,180 000,05/05/2024
Cite Ennasr 2,Location,App. 3 pièc,S plus 2 a ennasr 2,1 200,05/05/2024
Ain Zaghouan,Location,App. 3 pièc,S 2 neuf jamais habi,1 100,05/05/2024
Hammam Chatt,Terrain,Terrain nu,Terrain à hammam chatt,1 008 000,05/05/2024
Hammam Lif,Terrain,Terrain nu,Terrain à hammam lif,893 200,05/05/2024
Rades Plage,Terrain,Terrain nu,Terrains à rades plage,100 000,05/05/2024
Jardins de Cart,Location,App. 4 pièc,Appart s 3 avec suite et,1 650,05/05/2024
Bou Mhel,Vente,Duplex,Av duplex haute standing à bo,550 000,05/05/2024
Bab Bled,Location,Surfaces,Surface couverte 500 m2   com,1 500,05/05/2024
El Manar 2,Location,App. 3 pièc,S plus 2 vide rénové,1 200,05/05/2024
El Menzah 8,Location,App. 3 pièc,S plus 2 hst a el ma,1 400,05/05/2024
Hammamet,Vente,App. 2 pièc,Appartement jannet,560 000,05/05/2024
Zone Hoteliere,Vente,App. 5 pièc,Appartement ponarami,1 350 000,05/05/2024
Hammamet,Vente,Maisons,Villa bora,750 000,05/05/2024
Jardins de Cart,Location,App. 4 pièc,Appart s 3 avec suit,1 500,05/05/2024
Carthage,Location,Autre,Etage villa  s3 lumi,1 400,05/05/2024
Cite Touristiqu,Vente,Maisons,Villa neuf orienté a la,320 000,05/05/2024
El Menzah 5,Bureaux & Commer,Surfaces,Convient pour école priv,5 000,05/05/2024
El Menzah 5,Bureaux & Commer,Bureau,Bureau à el manzeh 5,750,05/05/2024
El Menzah 9,Location,Maisons,Rez de chaussée s h,1 800,05/05/2024
El Taoufik,Terrain,Terrain nu,Terrain nu,387 000,05/05/2024
Jardins de Cart,Location,App. 2 pièc,Appart s 1 jardin de,1 200,05/05/2024
La Soukra,Location,App. 2 pièc,Appart s 1 neuf,900,05/05/2024
La Soukra,Vente,App. 4 pièc,Appartement s 3 avec,695 000,05/05/2024
Cite El Intissa,Location vacance,App. 2 pièc,Appartement s2 meublé,600,05/05/2024
Nouvelle Medina,Location,App. 2 pièc,S2 dans un quartier calm,850,05/05/2024
El Menzah 9,Location,App. 1 pièc,Beau  s0 refait à neuf,750,05/05/2024
Ain Zaghouan,Location vacance,App. 4 pièc,Appart meublés  s3 s2 s1,1 050,05/05/2024
Djerba,Location vacance,App. 2 pièc,Appartement s1 meublé à,420,05/05/2024
Cite Ennasr 2,Location vacance,App. 2 pièc,Appartement meublé ennas,1 800,05/05/2024
Djerba,Location vacance,App. 3 pièc,Appart s2  houmt souk co,490,05/05/2024
El Manar 1,Location,App. 2 pièc,S plus 1 meublé a el,1 000,05/05/2024
Jardins d'el Me,Location,Maisons,Etage de villa s plu,1 300,05/05/2024
Ariana,Location,Maisons,Etage de villa s plu,1 100,05/05/2024
El Haouaria,Vente,Maisons,Villa dégagée a la mer a,220 000,05/05/2024
Ariana,Vente,App. 1 pièc,S1 120 md à ariena,120 000,05/05/2024
Jardins d'el Me,Vente,App. 2 pièc,S2 a jardin d'el menzah,300 000,05/05/2024
Zaghouan,Terrain,Terrain agr,Firma à sminja zaghaoun,600 000,05/05/2024
Cite Touristiqu,Vente,Maisons,Maison ds 317m2 prés de,160 000,05/05/2024
Riadh Landlous,Location,App. 4 pièc,App s3 riadh el andalous,960,05/05/2024
Cite Ezzitoun 1,Vente,Maisons,Maison dar fadhal,165 000,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,App s1 meuble 1400 ennas,1 400,05/05/2024
Cite Ennasr 2,Location,App. 1 pièc,S1 800 dt à ennasr 2,800,05/05/2024
Jardins de Cart,Location,App. 4 pièc,Appart s 3 avec balcon e,1 500,05/05/2024
Cartage Byrsa,Vente,App. 4 pièc,Appartemenet s 3,340 000,05/05/2024
El Aouina,Location,App. 3 pièc,Apart s 2 jamais habite,1 200,05/05/2024
La Mannouba,Location,App. 3 pièc,Appart 3 et 4 pièces cite ben,350,05/05/2024
La Mannouba,Location,App. 3 pièc,Appart 3 et 4 pièces cite ben,350,05/05/2024
La Soukra,Location vacance,App. 1 pièc,Studio meublé a soukra 7,450,05/05/2024
El Menzah 9,Location,App. 5 pièc,S plus 4 meublé a el,1 400,05/05/2024
La Soukra,Location,App. 2 pièc,Luxueux s2 meublé,600,05/05/2024
Hammamet,Vente,App. 3 pièc,Aopartement s3 à mrezga,185 000,05/05/2024
Ksar Said,Location,App. 3 pièc,Espace pour laboratoire,1 000,05/05/2024
El Manar 1,Location,App. 2 pièc,S plus 1 meublé a el,500,05/05/2024
Ksar Said,Bureaux & Commer,Surfaces,Local commercial,2 000,05/05/2024
Ksar Said,Bureaux & Commer,Bureau,Cabinets médicaux,1 000,05/05/2024
Jardins de Cart,Vente,App. 2 pièc,Appart s 1 lumineux,280 000,05/05/2024
El Menzah 9,Location,App. 3 pièc,S3 1000 dt à menzah 9,1 000,05/05/2024
El Aouina,Location,App. 3 pièc,Appart s 2 a cote ci,1 200,05/05/2024
Cite Ennasr 2,Location,App. 1 pièc,S1 1250 dt à ennasr 2,1 250,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,S2 1200 à ennaser 2,1 200,05/05/2024
Jardins de Cart,Location,App. 2 pièc,Appart s 1 haut stan,1 200,05/05/2024
Ain Zaghouan,Location vacance,App. 2 pièc,Appartement s1 sublime,240,05/05/2024
El Menzah 9,Location,App. 4 pièc,S plus 3 a el manzah,900,05/05/2024
La Soukra,Location vacance,App. 1 pièc,Un s1 meublé a la soukra,450,05/05/2024
El Menzah 5,Vente,Duplex,Triplex rénové luxe,650 000,05/05/2024
Borj El Baccouc,Location,Maisons,Studio s plus 1 meub,600,05/05/2024
Lebna,Terrain,Terrain agr,Grand terrain deuxiè,1 350 000,05/05/2024
Bizerte,Vente,Maisons,Maison indépendante stan,280 000,05/05/2024
Cite Ibn Khaldo,Vente,Duplex,Maison  rdc  etage independan,350 000,05/05/2024
Bab Bhar,Location,Surfaces,Centre informat  centre d ' a,2 400,05/05/2024
Hammamet,Vente,Maisons,Villa nouvellement const,620 000,05/05/2024
Cite Bhar Lazre,Location,App. 2 pièc,Appart s 1 haut standing,1 050,05/05/2024
El Menzah 5,Vente,Maisons,Villa type carnoy à,1 250 000,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,S plus 1 hst a ennas,950,05/05/2024
Cite De L'Aerop,Location,Surfaces,Un dépot de 130m2 pour stocka,600,05/05/2024
Sidi Frej,Location,Surfaces,Un dépôt à la soukra,1 200,05/05/2024
Bizerte,Terrain,Terrain nu,Terrain sidi salem bizerte,1 200 000,05/05/2024
